Sitio,SubSite,Location,X,Y,Z,Priority,LastCount_Date,Times_Counted_CurrentQtr,AVGPrice,Transactions,AgeWeight,Norm_AVGPrice,Norm_Transactions,Norm_AgeWeight,Total_Score,Classification
00,Distribution Center (DC),C12Z48B1,48,35,12,C,02/06/2025,2,1324.4262749999998,2,1,1.0,0.125,1.0,0.6937500000000001,A
00,Distribution Center (DC),C12Z42B1,42,35,12,C,30/05/2025,2,1324.4262749999998,2,1,1.0,0.125,1.0,0.6937500000000001,A
QA,CALIDAD Location,CALIDAD,0,0,0,C,28/12/2024,0,1324.4262749999998,2,1,1.0,0.125,1.0,0.6937500000000001,A
00,Distribution Center (DC),C13D04A1,4,19,13,C,23/05/2025,1,1324.4262749999998,2,1,1.0,0.125,1.0,0.6937500000000001,A
00,Distribution Center (DC),C14Z38A2,57,8,14,C,29/05/2025,1,1324.4262749999998,1,1,1.0,0.0625,1.0,0.671875,A
00,Distribution Center (DC),C14D26A2,27,6,14,C,12/06/2025,1,1324.4262749999998,1,1,1.0,0.0625,1.0,0.671875,A
00,Distribution Center (DC),C13D14B1,14,18,13,C,19/05/2025,1,1324.4262749999998,1,1,1.0,0.0625,1.0,0.671875,A
20,MTY. BRANCH,A02,0,0,2,C,10/06/2025,2,1324.4262749999998,1,1,1.0,0.0625,1.0,0.671875,A
00,Distribution Center (DC),C13D06F1,6,14,13,C,22/05/2025,1,1324.4262749999998,1,1,1.0,0.0625,1.0,0.671875,A
30,Tijuana branch,D12,13,5,12,C,02/05/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C13D14C1,14,17,13,C,19/05/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
50,Ticket Express,MP05Z12B2,13,97,0,C,01/01/1980,0,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14Z42A2,69,8,14,C,28/05/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Integración 2.0,INGSERV,0,0,0,C,26/12/2024,0,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C13D16C1,16,17,13,C,19/05/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14Z38A3,58,8,14,C,29/05/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
50,Ticket Express,MP05Z15B1,16,92,0,C,01/01/1980,0,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Raw Material,MP07D10D1,11,62,0,C,12/06/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C12Z41B1,41,35,12,C,30/05/2025,2,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14Z41A2,66,8,14,C,28/05/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14Z27A3,31,8,14,C,11/03/2025,0,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Integración 2.0,INGMACHINE,0,0,0,C,01/01/1980,0,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
20,MTY. BRANCH,A01,0,0,1,C,11/06/2025,3,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14Z18F1,18,13,14,C,11/06/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
QM,MTY Qality Assurance,MTYQASSURA,0,0,0,C,01/01/1980,0,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14Z28A1,32,8,14,C,10/03/2025,0,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14D15F1,15,1,14,C,10/06/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14D09F1,9,1,14,C,06/06/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14Z03F1,3,13,14,C,05/06/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14D07F1,7,1,14,C,06/06/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14D05F1,5,1,14,C,05/06/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14Z26A3,28,8,14,C,11/03/2025,0,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14D03F1,3,1,14,C,04/06/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14Z05F1,5,13,14,C,05/06/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14D13F1,13,1,14,C,10/06/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14D11F1,11,1,14,C,10/06/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14Z01F1,1,13,14,C,04/06/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14Z29A3,40,8,14,C,10/03/2025,0,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C14Z40A3,64,8,14,C,28/05/2025,1,1324.4262749999998,0,1,1.0,0.0,1.0,0.65,A
00,Distribution Center (DC),C13D01A1,1,19,13,C,26/05/2025,1,1167.10255461,2,1,0.88121368221119,0.125,1.0,0.6402961569950356,A
00,Distribution Center (DC),C14Z03B1,3,9,14,C,05/06/2025,1,1292.8879770833335,0,1,0.9761872000639172,0.0,1.0,0.6392842400287628,A
30,Tijuana branch,HardwAcces,31,5,0,C,09/05/2025,1,1268.658559010375,0,1,0.9578929253803691,0.0,1.0,0.631051816421166,A
GO,Distribution Center (DC),C14Z22E1,22,12,14,C,28/04/2025,1,1264.1154,0,1,0.9544626408140386,0.0,1.0,0.6295081883663174,A
50,Ticket Express,MP05Z14B1,15,92,0,C,01/01/1980,0,1247.7007875,0,1,0.9420688875264123,0.0,1.0,0.6239309993868856,A
00,Distribution Center (DC),C13Z06F1,6,26,13,C,22/05/2025,1,1182.36492,0,1,0.8927374383296648,0.0,1.0,0.6017318472483492,A
00,Distribution Center (DC),C13D10F1,10,14,13,C,21/05/2025,1,1182.36492,0,1,0.8927374383296648,0.0,1.0,0.6017318472483492,A
00,Distribution Center (DC),C13D11F1,11,14,13,C,20/05/2025,1,1182.36492,0,1,0.8927374383296648,0.0,1.0,0.6017318472483492,A
